"gene","coef","gene_symbol","fold"
"(Intercept)",-2.02809968783408,NA,1
"ENSG00000102962",-0.0470625513759707,"CCL22",1
"ENSG00000103356",-0.00520801044597099,"EARS2",1
"ENSG00000114737",0.29736498972876,"CISH",1
"ENSG00000115414",-0.0963791509155107,"FN1",1
"ENSG00000115523",0.404354237944471,"GNLY",1
"ENSG00000125347",0.0878865733283815,"IRF1",1
"ENSG00000132300",-0.109482632827823,"PTCD3",1
"ENSG00000133101",0.136980083818261,"CCNA1",1
"ENSG00000134294",0.232250342433059,"SLC38A2",1
"ENSG00000138207",-0.186726466141889,"RBP4",1
"ENSG00000152766",0.0161848656263551,"ANKRD22",1
"ENSG00000162929",-0.0318730025162578,"KIAA1841",1
"ENSG00000163710",-0.0141204214533187,"PCOLCE2",1
"ENSG00000163735",-0.0202632876819903,"CXCL5",1
"ENSG00000164631",-0.0296152717161276,"ZNF12",1
"ENSG00000170323",-0.22606720334531,"FABP4",1
"ENSG00000182141",-0.240774439770674,"ZNF708",1
"ENSG00000185897",0.233489297933766,"FFAR3",1
"ENSG00000196139",-0.0145091381412219,"AKR1C3",1
"ENSG00000196305",-0.0541443591127311,"IARS1",1
"ENSG00000203865",-0.0785438779521308,"ATP1A1-AS1",1
"ENSG00000204264",0.147377957823057,"PSMB8",1
"ENSG00000259094",-0.0642867527146996,"AC013457.1",1
"ENSG00000272168",-0.0129448793301355,"CASC15",1
"ENSG00000273173",-0.123636414306585,"SNURF",1
"(Intercept)",-0.418331289994077,NA,2
"ENSG00000115523",0.152219175155789,"GNLY",2
"ENSG00000134294",0.21115084018532,"SLC38A2",2
"ENSG00000138207",-0.294059438417718,"RBP4",2
"ENSG00000152766",0.0680036903516356,"ANKRD22",2
"ENSG00000162929",-0.0224985957557283,"KIAA1841",2
"ENSG00000170323",-0.172069877017638,"FABP4",2
"ENSG00000185897",0.172192485541625,"FFAR3",2
"ENSG00000187608",0.0395343295625233,"ISG15",2
"ENSG00000196139",-0.0991982078910252,"AKR1C3",2
"ENSG00000204264",0.0974774008789272,"PSMB8",2
"ENSG00000253729",-0.201056188879907,"PRKDC",2
"ENSG00000272821",0.0524563308066709,"U62317.2",2
"(Intercept)",0.277581032728331,NA,3
"ENSG00000008226",-0.127667314822072,"DLEC1",3
"ENSG00000113068",-0.00871152988480136,"PFDN1",3
"ENSG00000114737",0.010666158688693,"CISH",3
"ENSG00000115523",0.202756616809514,"GNLY",3
"ENSG00000117143",-0.00432776233152217,"UAP1",3
"ENSG00000133101",0.228488845963857,"CCNA1",3
"ENSG00000134294",0.0552380069950212,"SLC38A2",3
"ENSG00000136231",0.0179365459888841,"IGF2BP3",3
"ENSG00000149021",-0.008816905657704,"SCGB1A1",3
"ENSG00000163735",-0.00870126218376147,"CXCL5",3
"ENSG00000164631",-0.0351791674753274,"ZNF12",3
"ENSG00000170323",-0.407614771162042,"FABP4",3
"ENSG00000170324",-0.0607792508798468,"FRMPD2",3
"ENSG00000185507",0.297600051466334,"IRF7",3
"ENSG00000185897",0.093196018076849,"FFAR3",3
"ENSG00000196139",-0.0532948757055277,"AKR1C3",3
"ENSG00000196189",0.0311138255594282,"SEMA4A",3
"ENSG00000232629",-0.0158938960400463,"HLA-DQB2",3
"ENSG00000259094",-0.0637095610560339,"AC013457.1",3
"ENSG00000272168",-0.149988866308107,"CASC15",3
"ENSG00000272660",-0.10244476961035,"AC090425.2",3
"ENSG00000272821",0.0395966750710966,"U62317.2",3
"ENSG00000273173",-0.0502437669585961,"SNURF",3
"(Intercept)",-5.18178395256526,NA,4
"ENSG00000115523",0.234130965651724,"GNLY",4
"ENSG00000133106",0.0589977671859488,"EPSTI1",4
"ENSG00000135604",0.232267920459593,"STX11",4
"ENSG00000138207",-0.141379851989096,"RBP4",4
"ENSG00000149021",-0.0263190757581433,"SCGB1A1",4
"ENSG00000158769",-0.0055638370733705,"F11R",4
"ENSG00000163710",-0.020646083332014,"PCOLCE2",4
"ENSG00000168394",0.138545813836627,"TAP1",4
"ENSG00000170323",-0.200503910959821,"FABP4",4
"ENSG00000175073",0.502128229037391,"VCPIP1",4
"ENSG00000182141",-0.100660309134781,"ZNF708",4
"ENSG00000185885",0.078665988725947,"IFITM1",4
"ENSG00000185897",0.13639214763937,"FFAR3",4
"(Intercept)",0.572610402101018,NA,5
"ENSG00000115523",0.0762970953338555,"GNLY",5
"ENSG00000133106",0.0241090214407943,"EPSTI1",5
"ENSG00000151914",-0.0290310209599891,"DST",5
"ENSG00000163710",-0.0191246900527823,"PCOLCE2",5
"ENSG00000163735",-0.114923358174157,"CXCL5",5
"ENSG00000170323",-0.38907795890651,"FABP4",5
"ENSG00000175073",0.0557958212109539,"VCPIP1",5
"ENSG00000185897",0.0418482603713447,"FFAR3",5
"ENSG00000187608",0.00687972033429576,"ISG15",5
"ENSG00000188820",0.0311036260854521,"CALHM6",5
"ENSG00000204264",0.27278451949066,"PSMB8",5
